code,name,trade_date,auction_pct,open_pct,close_pct,excess_return,dailyline_found,prev_close,day_open,day_high,day_low,day_close
603629,利通电子,2026-04-28,10.0,10.0,10.0,0.0,True,108.5,119.35,119.35,119.35,119.35
600105,永鼎股份,2026-04-28,0.16,0.16,-7.56,-7.72,True,48.52,48.6,49.35,44.53,44.85
603220,中贝通信,2026-04-28,-5.86,-5.86,-7.35,-1.49,True,31.55,29.7,30.59,28.88,29.23
688313,仕佳光子,2026-04-28,-1.56,-1.56,-7.66,-6.1,True,145.26,143.0,147.88,132.06,134.14
300913,兆龙互连,2026-04-28,1.38,,,,False,,,,,
600207,安彩高科,2026-04-28,-0.85,-0.85,-3.22,-2.37,True,5.9,5.85,5.94,5.63,5.71
600026,中远海能,2026-04-28,0.74,0.74,-2.09,-2.83,True,21.5,21.66,21.7,20.6,21.05
002134,天津普林,2026-04-28,2.48,,,,False,,,,,
003027,同兴科技,2026-04-28,-0.71,,,,False,,,,,
300511,雪榕生物,2026-04-28,1.39,,,,False,,,,,
603336,宏辉果蔬,2026-04-28,1.74,1.74,10.02,8.28,True,11.48,11.68,12.63,11.68,12.63
002741,光华科技,2026-04-28,-0.94,-0.94,-1.57,-0.63,True,22.26,22.05,22.35,21.23,21.91
600486,扬农化工,2026-04-28,-1.06,,,,False,,,,,
001211,双枪科技,2026-04-28,-1.68,,,,False,,,,,
002204,大连重工,2026-04-28,0.0,,,,False,,,,,
301035,润丰股份,2026-04-28,-0.2,,,,False,,,,,
000848,承德露露,2026-04-28,6.42,,,,False,,,,,
002049,紫光国微,2026-04-28,4.21,4.21,1.46,-2.75,True,73.36,76.45,76.6,74.27,74.43
688816,易思维,2026-04-28,0.26,0.26,-1.63,-1.89,True,64.53,64.7,65.68,63.17,63.48
003041,真爱美家,2026-04-28,-10.0,-10.0,-10.0,0.0,True,62.22,56.0,57.99,56.0,56.0
603657,春光科技,2026-04-28,0.21,0.21,-4.76,-4.97,True,28.35,28.41,28.41,26.53,27.0
688381,帝奥微,2026-04-28,-0.68,-0.68,-2.84,-2.16,True,35.21,34.97,34.97,32.03,34.21
601177,杭齿前进,2026-04-28,1.49,1.49,10.02,8.53,True,14.77,14.99,16.25,14.9,16.25
605287,德才股份,2026-04-28,2.03,2.03,10.0,7.97,True,49.28,50.28,54.21,50.0,54.21
300864,南大环境,2026-04-28,1.22,1.22,3.33,2.11,True,21.34,21.6,22.37,21.6,22.05
002838,道恩股份,2026-04-28,-0.55,,,,False,,,,,
603519,立霸股份,2026-04-28,-0.07,-0.07,-1.29,-1.22,True,13.99,13.98,14.07,13.68,13.81
920230,欧康医药,2026-04-28,0.68,,,,False,,,,,
002989,中天精装,2026-04-28,-0.25,-0.25,10.0,10.25,True,23.91,23.85,26.3,23.75,26.3
603095,越剑智能,2026-04-28,7.56,7.56,10.03,2.47,True,19.05,20.49,20.96,19.05,20.96
688653,康希通信,2026-04-28,3.35,3.35,2.49,-0.86,True,14.05,14.52,15.17,14.3,14.4
603610,麒盛科技,2026-04-28,-0.96,-0.96,-1.62,-0.66,True,16.71,16.55,16.67,16.11,16.44
300909,汇创达,2026-04-28,0.04,,,,False,,,,,
600400,红豆股份,2026-04-28,0.0,0.0,0.41,0.41,True,2.43,2.43,2.5,2.35,2.44
603626,科森科技,2026-04-28,-0.16,-0.16,-2.13,-1.97,True,24.37,24.33,24.64,23.69,23.85
605598,上海港湾,2026-04-28,-0.04,-0.04,-5.06,-5.02,True,47.2,47.18,47.18,44.66,44.81
002706,良信股份,2026-04-28,1.76,,,,False,,,,,
688036,传音控股,2026-04-28,5.14,5.14,1.54,-3.6,True,57.8,60.77,62.46,58.36,58.69
301533,威马农机,2026-04-28,0.06,,,,False,,,,,
600303,曙光股份,2026-04-28,-0.31,-0.31,0.63,0.94,True,3.18,3.17,3.24,3.15,3.2
600520,三佳科技,2026-04-28,-0.17,,,,False,,,,,
