code,name,trade_date,dailyline_found,auction_pct,open_pct,close_pct,excess_return,prev_close,day_open,day_high,day_low,day_close
300069,金利华电,2026-05-20,False,20.0,,,,,,,,
000417,合百集团,2026-05-20,False,9.12,,,,,,,,
600021,上海电力,2026-05-20,False,6.67,,,,,,,,
600863,华能蒙电,2026-05-20,False,5.17,,,,,,,,
688611,杭州柯林,2026-05-20,False,6.9,,,,,,,,
600506,统一股份,2026-05-20,False,5.56,,,,,,,,
300286,安科瑞,2026-05-20,False,1.2,,,,,,,,
001269,欧晶科技,2026-05-20,False,3.46,,,,,,,,
301057,汇隆新材,2026-05-20,False,1.01,,,,,,,,
300873,海晨股份,2026-05-20,False,3.8,,,,,,,,
002862,实丰文化,2026-05-20,False,1.76,,,,,,,,
688070,纵横股份,2026-05-20,False,1.08,,,,,,,,
300062,中能电气,2026-05-20,False,1.44,,,,,,,,
920374,云里物里,2026-05-20,False,5.85,,,,,,,,
688584,上海合晶,2026-05-20,False,1.34,,,,,,,,
600611,大众交通,2026-05-20,False,3.48,,,,,,,,
300371,汇中股份,2026-05-20,False,3.01,,,,,,,,
002796,世嘉科技,2026-05-20,False,4.34,,,,,,,,
301618,长联科技,2026-05-20,False,2.49,,,,,,,,
601900,南方传媒,2026-05-20,False,1.29,,,,,,,,
002901,大博医疗,2026-05-20,False,2.32,,,,,,,,
301020,密封科技,2026-05-20,False,1.35,,,,,,,,
000926,福星股份,2026-05-20,False,4.83,,,,,,,,
002568,百润股份,2026-05-20,False,1.29,,,,,,,,
002138,顺络电子,2026-05-20,False,3.72,,,,,,,,
300901,中胤时尚,2026-05-20,False,2.0,,,,,,,,
003019,宸展光电,2026-05-20,False,1.2,,,,,,,,
300593,新雷能,2026-05-20,False,7.28,,,,,,,,
300121,阳谷华泰,2026-05-20,False,1.06,,,,,,,,
605366,宏柏新材,2026-05-20,False,2.25,,,,,,,,
603188,亚邦股份,2026-05-20,False,1.38,,,,,,,,
301376,致欧科技,2026-05-20,False,2.41,,,,,,,,
688096,京源环保,2026-05-20,False,2.35,,,,,,,,
002159,三特索道,2026-05-20,False,4.03,,,,,,,,
301566,达利凯普,2026-05-20,False,1.55,,,,,,,,
300518,新迅达,2026-05-20,False,1.08,,,,,,,,
000032,深桑达Ａ,2026-05-20,False,1.73,,,,,,,,
001914,招商积余,2026-05-20,False,1.74,,,,,,,,
003023,彩虹集团,2026-05-20,False,1.35,,,,,,,,
001330,博纳影业,2026-05-20,False,2.12,,,,,,,,
688345,博力威,2026-05-20,False,1.86,,,,,,,,
600637,东方明珠,2026-05-20,False,1.37,,,,,,,,
300604,长川科技,2026-05-20,False,2.58,,,,,,,,
300964,本川智能,2026-05-20,False,1.71,,,,,,,,
600768,宁波富邦,2026-05-20,False,1.32,,,,,,,,
600853,龙建股份,2026-05-20,False,2.07,,,,,,,,
688061,灿瑞科技,2026-05-20,False,1.01,,,,,,,,
