rank,code,name,action_type,action_quality,action_reason,setup_v72,setup_reason,final_score,action_score,expected_return_score,action_confidence,action_priority,auction_strength,auction_alpha_score,source_evidence_score,price_intent_score,money_intent_score,orderbook_quality_score,liquidity_score,source_families,hits_count,auction_amount_wan,auction_turnover_pct,auction_pct,qiangchou_primary_signal,qiangchou_920_925_rank,qiangchou_last_second_rank,vratio_rank,net_amount_rank,fengdan_status,fengdan_rank,theme_strength_t0,hotness_score,risk_flag,risk_penalty,t1_multiplier,stock_t1_label,stock_t1_reason,stock_t1_super_ratio,stock_t1_main_inflow_wan,tech_profile,pct_chg_t1,vol_ratio_t1,distance_to_ma20,prev_close,day_open,day_close,open_pct,close_pct,excess_return
1,000880,潍柴重机,AUCTION_FOLLOW,main_attack,healthy_cost_auction_follow_through,T0-ROTATE,theme_strength_plus_auction_confirm,63.06,73.99,50.44,high,10,70.69,,,75,100,45,,qiangchou_920_925|qiangchou_last_second|net_amount,3,5518,0.7,7.14,9:20-9:25,8,1,33,10,none,,100,,False,1,1,miss,missing_in_cashflow_today,,,,2.7113,1.1651,0.0465,,,,,,
2,603108,润达医疗,MOMENTUM_CATCHUP,momentum,strong_auction_momentum_incomplete_theme_or_source,T0-GENERAL,weak_or_single_factor_watch,48.48,58.36,63.09,high,15,55.9,,,100,100,45,,net_amount,1,4695,0.7,4.64,,,,,27,none,,60,,False,1,1,miss,missing_in_cashflow_today,,,,10,3.003,0.1079,,,,,,
3,688449,联芸科技,MOMENTUM_CATCHUP,momentum,strong_auction_momentum_incomplete_theme_or_source,T0-GENERAL,weak_or_single_factor_watch,37.4,58.15,62.93,high,15,55.76,,,100,95.78,45,,net_amount,1,5818,0.47,5.65,,,,34,18,none,,20,,False,1,0.96,miss,missing_in_cashflow_today,,,,5.2993,1.4088,0.3298,,,,,,
4,001896,豫能控股,MOMENTUM_CATCHUP,momentum,strong_auction_momentum_incomplete_theme_or_source,T0-GENERAL,weak_or_single_factor_watch,39.77,57.21,62.54,medium,15,53.71,,,100,89.14,45,,qiangchou_920_925,1,5948,0.62,2.29,9:20-9:25,24,,,45,none,,20,68.8,False,1,1,hit_top_retail,,0.9214,61100,,9.9864,0.7279,-0.0291,,,,,,
5,603986,兆易创新,THEME_CATCHUP,strong,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,43.75,78.74,52.32,high,20,39.3,,,55,74.53,45,,net_amount,1,23305,0.09,0.85,,,,,1,none,,100,30.8,False,1,0.96,miss,missing_in_cashflow_today,,,,1.14,1.2143,0.2112,,,,,,
6,002785,万里石,THEME_CATCHUP,strong,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,32.71,66.99,36.84,high,20,14.82,,,55,23.83,45,,vratio|qiangchou_920_925,2,715,0.09,1.05,9:20-9:25,3,,17,,none,,100,,False,1,1,miss,missing_in_cashflow_today,,,,2.7952,2.2896,0.2317,,,,,,
7,002030,达安基因,THEME_CATCHUP,medium,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,26.84,57.44,28.11,medium,20,15.74,,,55,43.63,45,,qiangchou_920_925,1,1309,0.2,1.81,9:20-9:25,25,,,,none,,80,,False,1,0.94,miss,missing_in_cashflow_today,,,,0,2.2118,0.074,,,,,,
8,600785,新华百货,THEME_CATCHUP,medium,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,25.86,56.07,27.83,medium,20,11.35,,,55,21.07,45,,vratio,1,632,0.26,1.65,,,,6,,none,,80,,False,1,1,miss,missing_in_cashflow_today,,,,3.1197,2.5154,0.0285,,,,,,
9,000026,飞亚达,THEME_CATCHUP,weak,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,27.9,52.86,19.6,high,20,8.88,,,55,0,45,,,0,,,1.13,,,,,,none,87,100,,False,1,0.96,miss,missing_in_cashflow_today,,,,10,1.1482,0.1679,,,,,,
10,600578,京能电力,LOW_OPEN_REVERSAL,repair,low_open_repair_with_premarket_support,T0-REVERSAL,low_open_reversal_separate_pool,41.44,71.71,60.34,high,30,44.52,,,20,100,45,,net_amount,1,11313,0.81,-3.02,,,,,5,none,,20,96.8,False,1,1,miss,missing_in_cashflow_today,,,,7.2633,4.4869,0.4626,,,,,,
11,002208,合肥城建,LOW_OPEN_REVERSAL,repair,low_open_repair_with_premarket_support,T0-REVERSAL,low_open_reversal_separate_pool,36.94,64.32,57.7,high,30,38.4,,,20,100,45,,net_amount,1,12843,1.68,-4.34,,,,,9,none,,20,89.2,False,1,1,miss,missing_in_cashflow_today,,,,9.9825,3.2708,0.6293,,,,,,
12,300302,同有科技,LOW_OPEN_REVERSAL,repair,low_open_repair_with_premarket_support,T0-REVERSAL,low_open_reversal_separate_pool,33.21,55.85,59.75,medium,30,43.78,,,20,100,45,,net_amount,1,9082,0.52,-3.2,,,,,6,none,,20,15,False,1,1,miss,missing_in_cashflow_today,,,,11.0903,1.8186,0.7488,,,,,,
13,600208,衢州发展,LOW_OPEN_REVERSAL,repair,low_open_repair_with_premarket_support,T0-REVERSAL,low_open_reversal_separate_pool,32.34,53.23,60.3,medium,30,41.41,,,20,100,45,,net_amount,1,32496,2.48,-10.1,,,,,4,none,,20,,False,1,0.96,miss,missing_in_cashflow_today,,,,-10,0.0381,-0.1239,,,,,,
14,605299,舒华体育,LOW_OPEN_REVERSAL,repair,low_open_repair_with_premarket_support,T0-REVERSAL,low_open_reversal_separate_pool,21.83,48.13,57.11,medium,30,31.39,,,20,100,45,,net_amount,1,6871,3.02,-9.78,,,,,7,none,,20,12,True,0.9,0.96,miss,missing_in_cashflow_today,,,,-9.9912,0.1768,-0.1221,,,,,,
15,002384,东山精密,LOW_OPEN_REVERSAL,repair,low_open_repair_with_premarket_support,T0-REVERSAL,low_open_reversal_separate_pool,25.73,30.41,56.56,low,30,30.3,,,35,70.18,45,,net_amount,1,24009,0.09,-0.89,,,,,8,none,,20,35.2,False,1,0.96,hit_top_retail,,0.9759,103700,,5.1266,1.1674,0.1344,,,,,,
16,300166,东方国信,BROAD_REPAIR_MOMENTUM,broad_repair,no_theme_no_source_broad_repair_momentum,none,below_t0_thresholds,0,71,53.41,high,32,43.41,,,55,100,45,,,0,8613,0.47,1.35,,,,63,,none,,20,26.4,False,1,0.96,hit_top_retail,,0.501,49900,,9.9487,1.3831,0.2109,,,,,,
17,688545,兴福电子,BROAD_REPAIR_MOMENTUM,broad_repair,no_theme_no_source_broad_repair_momentum,none,below_t0_thresholds,0,67.7,50.8,high,32,39.68,,,55,83.79,45,,,0,4305,0.33,0.23,,,,,44,none,,20,,False,1,1,miss,missing_in_cashflow_today,,,,-7.0288,1.6507,0.3297,,,,,,
18,301531,春光集团,BROAD_REPAIR_MOMENTUM,broad_repair,no_theme_no_source_broad_repair_momentum,none,below_t0_thresholds,0,67.01,50.47,high,32,40.9,,,35,100,45,,net_amount,1,4094,0.9,-1.5,,,,,28,none,,20,,False,1,1,miss,missing_in_cashflow_today,,,,,,,,,,,,
19,600563,法拉电子,BROAD_REPAIR_MOMENTUM,broad_repair,no_theme_no_source_broad_repair_momentum,none,below_t0_thresholds,0,66.36,50.52,high,32,37.72,,,100,78.17,45,,,0,4334,0.23,2,,,,,54,none,,20,,False,1,1,miss,missing_in_cashflow_today,,,,10.0015,1.7472,0.176,,,,,,
20,601678,滨化股份,BROAD_REPAIR_MOMENTUM,broad_repair,no_theme_no_source_broad_repair_momentum,none,below_t0_thresholds,0,63.63,48.17,high,32,40.34,,,55,86.64,45,,,0,3324,0.3,0.32,,,,,43,none,,20,13,False,1,0.95,miss,missing_in_cashflow_today,,,,-3.1299,3.9091,0.1696,,,,,,
21,688361,中科飞测,BROAD_REPAIR_MOMENTUM,broad_repair,no_theme_no_source_broad_repair_momentum,none,below_t0_thresholds,0,62.46,52.19,high,32,36.61,,,100,71.9,45,,,0,6061,0.1,4.31,,,,35,52,none,,20,,False,1,0.96,miss,missing_in_cashflow_today,,,,8.8083,1.4754,0.1654,,,,,,
22,002273,水晶光电,BROAD_REPAIR_MOMENTUM,broad_repair,no_theme_no_source_broad_repair_momentum,none,below_t0_thresholds,0,62.38,48.8,high,32,35.24,,,55,100,45,,qiangchou_920_925,1,3852,0.08,1.38,9:20-9:25,28,,49,,none,,20,,False,1,0.96,miss,missing_in_cashflow_today,,,,3.3244,0.947,0.1103,,,,,,
23,688072,拓荆科技,BROAD_REPAIR_MOMENTUM,broad_repair,no_theme_no_source_broad_repair_momentum,none,below_t0_thresholds,0,61.22,51.89,high,32,34.96,,,100,62.64,45,,,0,6382,0.06,2.72,,,,58,42,none,,20,,False,1,0.96,miss,missing_in_cashflow_today,,,,5.6587,1.2847,0.2226,,,,,,
24,688808,联讯仪器,BROAD_REPAIR_MOMENTUM,broad_repair,no_theme_no_source_broad_repair_momentum,none,below_t0_thresholds,0,60.71,50.33,high,32,26.28,,,35,78.89,45,,,0,5107,0.19,-0.07,,,,,30,none,,20,,False,1,1,miss,missing_in_cashflow_today,,,,,,,,,,,,
25,688521,芯原股份,BROAD_REPAIR_MOMENTUM,broad_repair,no_theme_no_source_broad_repair_momentum,none,below_t0_thresholds,0,59.98,50.18,high,32,25.31,,,35,64.54,45,,net_amount,1,7263,0.06,-1.64,,,,,29,none,,20,,False,1,0.96,hit_top_strong,,0.8146,116500,,15.5723,1.3539,0.1676,,,,,,
26,688256,寒武纪,BROAD_REPAIR_MOMENTUM,broad_repair,no_theme_no_source_broad_repair_momentum,none,below_t0_thresholds,0,59.7,50.33,high,32,24.94,,,35,60.95,45,,net_amount,1,20412,0.05,-1.46,,,,,23,none,,20,12,False,1,1.03,hit_top_strong,,6.5547,25600,,8.3986,1.3878,-0.0462,,,,,,
27,000938,紫光股份,BROAD_REPAIR_MOMENTUM,broad_repair,no_theme_no_source_broad_repair_momentum,none,below_t0_thresholds,0,59.39,50.01,high,32,24.52,,,35,69.02,45,,,0,5129,0.08,-0.62,,,,,31,none,,20,,False,1,1,miss,missing_in_cashflow_today,,,,2.0735,0.9273,0.0381,,,,,,
28,300394,天孚通信,BROAD_REPAIR_MOMENTUM,broad_repair,no_theme_no_source_broad_repair_momentum,none,below_t0_thresholds,0,58.87,49.89,high,32,23.83,,,35,65.12,45,,,0,10499,0.07,-0.75,,,,,33,none,,20,19.2,False,1,1,miss,missing_in_cashflow_today,,,,-5.702,1.1084,0.0416,,,,,,
29,002466,天齐锂业,BROAD_REPAIR_MOMENTUM,broad_repair,no_theme_no_source_broad_repair_momentum,none,below_t0_thresholds,0,57.22,48.73,high,32,24.18,,,35,67.07,45,,,0,4564,0.07,-1.23,,,,,39,none,,20,,False,1,1,miss,missing_in_cashflow_today,,,,-2.2351,0.7298,-0.0458,,,,,,
30,601991,大唐发电,BROAD_REPAIR_MOMENTUM,broad_repair,no_theme_no_source_broad_repair_momentum,none,below_t0_thresholds,0,55.86,55.09,high,32,30.48,,,20,78.77,45,,,0,25989,1.03,-9.79,,,,,32,none,,20,100,False,1,1,miss,missing_in_cashflow_today,,,,5.6747,2.3525,0.5565,,,,,,
