code,name,trade_date,dailyline_found,auction_pct,open_pct,close_pct,excess_return,prev_close,day_open,day_high,day_low,day_close
002498,汉缆股份,2026-05-15,True,2.07,2.07,-5.71,-7.78,10.15,10.36,10.45,9.38,9.57
300302,同有科技,2026-05-15,True,3.02,3.02,2.81,-0.21,43.34,44.65,47.71,43.98,44.56
002407,多氟多,2026-05-15,True,5.94,5.94,10.02,4.08,33.15,35.12,36.47,35.12,36.47
300959,线上线下,2026-05-15,True,5.83,5.83,10.81,4.98,149.81,158.55,173.0,158.55,166.0
605020,永和股份,2026-05-15,True,3.78,3.78,-0.47,-4.25,31.75,32.95,33.61,31.44,31.6
688143,长盈通,2026-05-15,True,2.62,2.62,18.12,15.5,91.6,94.0,109.92,94.0,108.2
002297,博云新材,2026-05-15,True,4.01,4.01,3.77,-0.24,24.91,25.91,27.24,25.48,25.85
301486,致尚科技,2026-05-15,True,4.09,4.09,8.52,4.43,237.3,247.0,272.78,247.0,257.51
688535,华海诚科,2026-05-15,True,5.62,5.62,15.49,9.87,115.83,122.34,139.0,117.5,133.77
601991,大唐发电,2026-05-15,True,-2.92,-2.92,10.0,12.92,7.2,6.99,7.92,6.73,7.92
002015,协鑫能科,2026-05-15,True,-1.66,-1.66,-7.62,-5.96,23.5,23.11,23.6,21.2,21.71
600396,华电辽能,2026-05-15,True,-5.05,-5.05,4.75,9.8,16.64,15.8,18.0,14.99,17.43
000066,中国长城,2026-05-15,True,-5.12,-5.12,-9.57,-4.45,22.67,21.51,21.93,20.4,20.5
002428,云南锗业,2026-05-15,True,-1.21,-1.21,-7.07,-5.86,97.2,96.02,97.28,88.86,90.33
002940,昂利康,2026-05-15,True,1.9,1.9,7.89,5.99,40.07,40.83,43.98,39.9,43.23
000601,韶能股份,2026-05-15,True,-0.73,-0.73,-4.25,-3.52,8.23,8.17,8.61,7.49,7.88
002245,蔚蓝锂芯,2026-05-15,True,1.42,1.42,-2.89,-4.31,26.68,27.06,27.39,25.59,25.91
002716,湖南白银,2026-05-15,True,-1.69,-1.69,-6.78,-5.09,11.8,11.6,11.66,10.91,11.0
600379,宝光股份,2026-05-15,True,-0.74,-0.74,-1.48,-0.74,18.94,18.8,19.29,17.54,18.66
600703,三安光电,2026-05-15,True,1.38,1.38,-7.39,-8.77,17.45,17.69,17.88,15.9,16.16
603667,五洲新春,2026-05-15,True,0.1,0.1,9.72,9.62,76.95,77.03,84.65,75.9,84.43
600160,巨化股份,2026-05-15,True,4.17,4.17,3.91,-0.26,34.56,36.0,37.66,35.7,35.91
002466,天齐锂业,2026-05-15,True,0.52,0.52,-2.24,-2.76,70.69,71.06,71.42,68.86,69.11
002132,恒星科技,2026-05-15,True,0.32,0.32,-5.6,-5.92,6.25,6.27,6.34,5.84,5.9
300390,天华新能,2026-05-15,True,0.04,0.04,-2.97,-3.01,96.52,96.56,100.45,93.25,93.65
002709,天赐材料,2026-05-15,True,0.68,0.68,3.66,2.98,55.51,55.89,58.8,55.89,57.54
300394,天孚通信,2026-05-15,True,2.3,2.3,2.04,-0.26,392.0,401.0,414.08,381.91,399.99
688347,华虹公司,2026-05-15,True,2.62,2.62,-4.92,-7.54,157.86,162.0,168.66,147.71,150.09
002156,通富微电,2026-05-15,True,1.05,1.05,-0.66,-1.71,57.4,58.0,60.12,55.24,57.02
600522,中天科技,2026-05-15,True,0.63,0.63,-7.05,-7.68,44.1,44.38,44.9,40.11,40.99
002008,大族激光,2026-05-15,True,0.01,0.01,-3.97,-3.98,149.23,149.24,151.1,138.71,143.3
688808,联讯仪器,2026-05-15,True,2.73,2.73,6.84,4.11,1095.07,1125.0,1244.0,1050.11,1170.0
600330,天通股份,2026-05-15,True,-0.61,-0.61,-10.0,-9.39,32.8,32.6,33.38,29.52,29.52
300604,长川科技,2026-05-15,True,2.0,2.0,0.3,-1.7,208.87,213.04,219.31,194.98,209.5
600498,烽火通信,2026-05-15,True,-0.02,-0.02,-8.25,-8.23,59.17,59.16,59.88,53.59,54.29
300782,卓胜微,2026-05-15,True,-0.09,-0.09,-5.15,-5.06,140.88,140.76,143.95,132.05,133.63
301217,铜冠铜箔,2026-05-15,True,-1.42,-1.42,-3.12,-1.7,85.88,84.66,88.89,80.1,83.2
300750,宁德时代,2026-05-15,True,0.25,0.25,-0.8,-1.05,427.0,428.08,431.5,421.0,423.6
300475,香农芯创,2026-05-15,True,-0.2,-0.2,-5.04,-4.84,200.5,200.1,202.28,186.9,190.4
002149,西部材料,2026-05-15,True,2.9,2.9,0.03,-2.87,69.0,71.0,71.8,67.12,69.02
002580,圣阳股份,2026-05-15,True,-5.27,-5.27,-9.99,-4.72,31.32,29.67,30.29,28.19,28.19
688025,杰普特,2026-05-15,True,3.21,3.21,5.56,2.35,374.0,386.0,422.88,385.55,394.8
300058,蓝色光标,2026-05-15,True,0.86,0.86,1.79,0.93,17.35,17.5,18.49,17.5,17.66
600726,华电能源,2026-05-15,True,-5.25,-5.25,-4.75,0.5,8.0,7.58,8.4,7.2,7.62
600183,生益科技,2026-05-15,True,0.06,0.06,-3.61,-3.67,93.32,93.38,93.84,87.65,89.95
000062,深圳华强,2026-05-15,True,-0.71,-0.71,-4.6,-3.89,33.66,33.42,34.5,31.71,32.11
002380,科远智慧,2026-05-15,True,3.27,3.27,9.33,6.06,38.58,39.84,42.44,39.84,42.18
600353,旭光电子,2026-05-15,True,1.99,1.99,-0.05,-2.04,21.1,21.52,21.98,20.83,21.09
688172,燕东微,2026-05-15,True,2.19,2.19,-4.5,-6.69,53.82,55.0,55.88,50.39,51.4
002975,博杰股份,2026-05-15,True,1.5,1.5,0.43,-1.07,114.5,116.22,123.85,112.0,114.99
300565,科信技术,2026-05-15,True,4.09,4.09,2.97,-1.12,15.15,15.77,16.15,15.2,15.6
002335,科华数据,2026-05-15,True,1.57,1.57,3.07,1.5,65.8,66.83,68.68,65.9,67.82
600184,光电股份,2026-05-15,True,1.3,1.3,-4.1,-5.4,29.3,29.68,30.89,27.71,28.1
300738,奥飞数据,2026-05-15,True,3.26,3.26,1.45,-1.81,26.97,27.85,29.49,27.04,27.36
002957,科瑞技术,2026-05-15,True,1.88,1.88,0.71,-1.17,45.2,46.05,47.59,42.8,45.52
688362,甬矽电子,2026-05-15,True,4.21,4.21,-1.58,-5.79,51.11,53.26,55.6,49.6,50.3
688556,高测股份,2026-05-15,True,2.78,2.78,-2.51,-5.29,15.13,15.55,15.7,14.15,14.75
301511,德福科技,2026-05-15,True,1.32,1.32,-2.31,-3.63,93.88,95.12,95.5,89.15,91.71
002171,楚江新材,2026-05-15,True,2.6,2.6,-2.36,-4.96,12.29,12.61,12.7,11.96,12.0
002979,雷赛智能,2026-05-15,True,1.18,1.18,10.01,8.83,54.36,55.0,59.8,54.68,59.8
301538,骏鼎达,2026-05-15,True,1.81,1.81,14.01,12.2,102.62,104.48,120.8,104.48,117.0
300450,先导智能,2026-05-15,True,1.15,1.15,-0.38,-1.53,52.4,53.0,53.7,51.68,52.2
000833,粤桂股份,2026-05-15,True,2.24,2.24,4.41,2.17,27.67,28.29,29.98,28.29,28.89
300655,晶瑞电材,2026-05-15,True,3.2,3.2,2.2,-1.0,15.92,16.43,16.87,16.08,16.27
688159,有方科技,2026-05-15,True,2.46,2.46,-6.68,-9.14,68.31,69.99,73.58,62.33,63.75
