code,name,trade_date,dailyline_found,auction_pct,open_pct,close_pct,excess_return,prev_close,day_open,day_high,day_low,day_close
600903,贵州燃气,2026-05-19,True,6.7,6.6969,9.9886,3.2886,8.81,9.4,9.69,9.3,9.69
002580,圣阳股份,2026-05-19,True,2.27,2.2684,3.9698,1.6998,26.45,27.05,28.0,25.49,27.5
300537,广信材料,2026-05-19,True,2.09,2.0896,5.0083,2.9183,30.15,30.78,32.5,30.3,31.66
002196,方正电机,2026-05-19,True,0.5,0.495,4.703,4.203,16.16,16.24,17.77,15.96,16.92
002600,领益智造,2026-05-19,True,2.4,2.4047,-0.8211,-3.2211,17.05,17.46,17.63,16.51,16.91
002979,雷赛智能,2026-05-19,True,-0.14,-0.1383,1.9972,2.1372,65.09,65.0,66.94,64.2,66.39
002048,宁波华翔,2026-05-19,True,1.95,1.9534,-1.1995,-3.1495,29.18,29.75,30.18,28.8,28.83
600143,金发科技,2026-05-19,True,2.98,2.9834,2.0654,-0.9146,17.43,17.95,18.18,17.67,17.79
603051,鹿山新材,2026-05-19,True,0.99,0.9942,2.1127,1.1227,24.14,24.38,24.95,24.0,24.65
002870,香山股份,2026-05-19,True,1.02,1.0226,-2.4349,-3.4549,41.07,41.49,41.49,39.73,40.07
002823,凯中精密,2026-05-19,True,0.79,0.7869,0.3632,-0.4268,16.52,16.65,16.76,16.31,16.58
603028,赛福天,2026-05-19,True,1.27,1.2658,0.0,-1.27,9.48,9.6,10.08,9.38,9.48
688590,新致软件,2026-05-19,True,2.79,2.7855,0.0,-2.79,17.95,18.45,19.14,17.93,17.95
688255,凯尔达,2026-05-19,True,1.22,1.221,2.293,1.073,33.58,33.99,34.95,33.5,34.35
002195,岩山科技,2026-05-19,True,2.62,2.6222,3.3373,0.7173,8.39,8.61,8.98,8.61,8.67
300454,深信服,2026-05-19,True,2.43,2.4308,4.1157,1.6857,119.3,122.2,125.58,121.81,124.21
300635,中达安,2026-05-19,True,1.38,1.378,-1.2467,-2.6267,15.24,15.45,15.59,14.78,15.05
