rank,code,name,action_type,action_quality,action_reason,setup_v72,setup_reason,final_score,action_score,expected_return_score,action_confidence,action_priority,auction_strength,auction_alpha_score,source_evidence_score,price_intent_score,money_intent_score,orderbook_quality_score,liquidity_score,source_families,hits_count,auction_amount_wan,auction_turnover_pct,auction_pct,qiangchou_primary_signal,qiangchou_920_925_rank,qiangchou_last_second_rank,vratio_rank,net_amount_rank,fengdan_status,fengdan_rank,theme_strength_t0,hotness_score,risk_flag,risk_penalty,t1_multiplier,stock_t1_label,stock_t1_reason,stock_t1_super_ratio,stock_t1_main_inflow_wan,tech_profile,pct_chg_t1,vol_ratio_t1,distance_to_ma20,prev_close,day_open,day_close,open_pct,close_pct,excess_return
11,300454,深信服,THEME_CATCHUP,medium,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,36.25,56.04,29.43,medium,20,21.52,,,100,49.53,45,,,0,1486,0.05,2.43,,,,96,,none,,80,,False,1,0.96,miss,missing_in_cashflow_today,,,,0.4822,1.0519,0.1098,119.3,122.2,124.21,2.4308,4.1157,1.6857
12,603051,鹿山新材,THEME_CATCHUP,weak,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,34.19,53.38,19.6,high,20,8.88,,,55,0,45,,,0,,,0.99,,,,,,none,46,100,,False,1,1,miss,missing_in_cashflow_today,,,,4.647,1.9426,0.0648,24.14,24.38,24.65,0.9942,2.1127,1.1227
13,002870,香山股份,THEME_CATCHUP,weak,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,30.8,52.81,21.05,high,20,4.18,,,55,13.83,45,,qiangchou_920_925,1,415,0.14,1.02,9:20-9:25,16,,37,,none,,100,,False,1,1,miss,missing_in_cashflow_today,,,,6.0725,3.46,0.1408,41.07,41.49,40.07,1.0226,-2.4349,-3.4549
14,002823,凯中精密,THEME_CATCHUP,weak,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,34.19,52.51,19.6,high,20,8.88,,,55,0,45,,,0,,,0.79,,,,,,none,59,100,,False,1,1,miss,missing_in_cashflow_today,,,,,,,16.52,16.65,16.58,0.7869,0.3632,-0.4268
15,603028,赛福天,THEME_CATCHUP,weak,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,32.14,52.25,19.6,high,20,8.88,,,55,0,45,,,0,,,1.27,,,,,,none,60,100,,False,1,0.94,miss,missing_in_cashflow_today,,,,0.3115,3.7981,0.122,9.48,9.6,9.48,1.2658,0,-1.27
16,688255,凯尔达,THEME_CATCHUP,weak,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,30.28,51.63,19.5,high,20,3.47,,,55,10.47,45,,,0,314,0.15,1.22,,,,61,,none,57,100,,False,1,1,miss,missing_in_cashflow_today,,,,,,,33.58,33.99,34.35,1.221,2.293,1.073
17,300635,中达安,THEME_CATCHUP,weak,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,29.55,48.98,20.88,medium,20,4.37,,,55,7.07,45,,vratio|qiangchou_920_925,2,212,0.13,1.38,9:20-9:25,15,,20,,none,,95,,False,1,1,miss,missing_in_cashflow_today,,,,-0.5867,0.756,0.0493,15.24,15.45,15.05,1.378,-1.2467,-2.6267
18,301502,华阳智能,THEME_CATCHUP,weak,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,30.62,48.37,21.59,medium,20,5.71,,,100,6.27,45,,qiangchou_920_925,1,188,0.1,2,9:20-9:25,12,,,,none,,100,,False,1,0.96,miss,missing_in_cashflow_today,,,,6.5789,1.4409,0.4395,81,82.62,83.84,2,3.5062,1.5062
19,603777,来伊份,THEME_CATCHUP,weak,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,26.56,46.05,19.14,medium,20,3.7,,,55,6.8,45,,qiangchou_920_925,1,204,0.07,1.59,9:20-9:25,25,,,,none,,90,,False,1,0.96,miss,missing_in_cashflow_today,,,,-2.9692,0.8042,0.1135,20.12,20.44,19.82,1.5905,-1.4911,-3.0811
20,002708,光洋股份,THEME_CATCHUP,weak,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,35.16,45.19,21.83,medium,20,12.25,,,100,19.4,45,,,0,582,0.1,3.16,,,,70,,none,,100,,False,1,0.96,miss,missing_in_cashflow_today,,,,1.1487,1.1583,0.1446,15.82,16.32,15.71,3.1606,-0.6953,-3.8553
21,603311,金海高科,THEME_CATCHUP,weak,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,34.66,44.98,20.11,medium,20,13.38,,,100,0,45,,,0,,,2.24,,,,,,none,50,90,,False,1,1,miss,missing_in_cashflow_today,,,,,,,25.41,25.98,27.95,2.2432,9.9961,7.7561
22,600396,华电辽能,LOW_OPEN_REVERSAL,repair,low_open_repair_with_premarket_support,T0-REVERSAL,low_open_reversal_separate_pool,43.65,76.08,62.62,high,30,47.37,,,20,100,45,,net_amount,1,14341,1.5,-9.82,,,,,2,none,,20,96.8,False,1,0.96,miss,missing_in_cashflow_today,,,,-9.9828,0.777,0.3668,15.69,14.15,16.15,-9.8152,2.9318,12.7518
23,002081,金螳螂,LOW_OPEN_REVERSAL,repair,low_open_repair_with_premarket_support,T0-REVERSAL,low_open_reversal_separate_pool,42.48,73.5,61.76,high,30,46.3,,,20,100,45,,net_amount,1,11657,1.29,-4.53,,,,,3,none,,20,91.6,False,1,0.96,miss,missing_in_cashflow_today,,,,-9.9363,0.911,0.1997,7.07,6.75,6.9,-4.5262,-2.4045,2.1255
24,002181,粤传媒,LOW_OPEN_REVERSAL,repair,low_open_repair_with_premarket_support,T0-REVERSAL,low_open_reversal_separate_pool,53.28,63.24,59.5,high,30,38.4,,,20,100,45,,net_amount,1,9187,1.52,-7.62,,,,,9,none,,80,83.2,False,1,1,miss,missing_in_cashflow_today,,,,-10.0051,1.6817,0.1063,17.72,16.37,15.95,-7.6185,-9.9887,-2.3687
25,603773,沃格光电,LOW_OPEN_REVERSAL,repair,low_open_repair_with_premarket_support,T0-REVERSAL,low_open_reversal_separate_pool,27.52,58.5,61.21,high,30,35.36,,,20,100,45,,net_amount,1,91922,9.93,-9.04,,,,,1,none,,20,26,True,0.9,1,miss,missing_in_cashflow_today,,,,-10.0013,0.0472,-0.0011,67.49,61.39,70.73,-9.0384,4.8007,13.8407
26,002407,多氟多,LOW_OPEN_REVERSAL,repair,low_open_repair_with_premarket_support,T0-REVERSAL,low_open_reversal_separate_pool,40.54,56.5,60.44,medium,30,45.08,,,35,87.45,45,,net_amount,1,17582,0.47,-2.04,,,,,5,none,,20,62.4,False,1,1,miss,missing_in_cashflow_today,,,,3.6194,1.9398,0.1119,37.79,37.02,37.18,-2.0376,-1.6142,0.4258
27,600118,中国卫星,LOW_OPEN_REVERSAL,repair,low_open_repair_with_premarket_support,T0-REVERSAL,low_open_reversal_separate_pool,35.77,49.36,57.99,medium,30,38.24,,,20,81.22,45,,net_amount,1,19802,0.38,-6.46,,,,,8,none,,20,74,False,1,0.96,miss,missing_in_cashflow_today,,,,1.148,0.6507,-0.052,96.92,90.66,87.23,-6.4589,-9.9979,-3.5379
28,002428,云南锗业,LOW_OPEN_REVERSAL,repair,low_open_repair_with_premarket_support,T0-REVERSAL,low_open_reversal_separate_pool,29.37,41.44,57.9,medium,30,33.53,,,35,83,45,,net_amount,1,12863,0.27,-1.4,,,,,6,none,,20,38,False,1,0.96,miss,missing_in_cashflow_today,,,,1.2288,0.8199,0.1551,91.44,90.16,90.59,-1.3998,-0.9296,0.4704
29,600584,长电科技,LOW_OPEN_REVERSAL,repair,low_open_repair_with_premarket_support,T0-REVERSAL,low_open_reversal_separate_pool,28.61,33.16,56.05,low,30,30.78,,,35,77.01,45,,net_amount,1,16801,0.21,-2.43,,,,,10,none,,20,36,False,1,1,miss,missing_in_cashflow_today,,,,0.4823,1.8626,0.1891,58.33,56.91,60.81,-2.4344,4.2517,6.6817
30,600667,太极实业,BROAD_REPAIR_MOMENTUM,broad_repair,no_theme_no_source_broad_repair_momentum,none,below_t0_thresholds,0,69.09,52.49,high,32,37.45,,,35,84.3,45,,net_amount,1,6544,0.37,-1.6,,,,,25,none,,20,23.6,False,1,1,hit_top_retail,,0.8855,29700,,5.9919,1.8203,0.2183,13.09,12.88,13.1,-1.6043,0.0764,1.6764
