rank,code,name,action_type,action_quality,action_reason,setup_v72,setup_reason,final_score,action_score,expected_return_score,action_confidence,action_priority,auction_strength,auction_alpha_score,source_evidence_score,price_intent_score,money_intent_score,orderbook_quality_score,liquidity_score,source_families,hits_count,auction_amount_wan,auction_turnover_pct,auction_pct,qiangchou_primary_signal,qiangchou_920_925_rank,qiangchou_last_second_rank,vratio_rank,net_amount_rank,fengdan_status,fengdan_rank,theme_strength_t0,hotness_score,risk_flag,risk_penalty,t1_multiplier,stock_t1_label,stock_t1_reason,stock_t1_super_ratio,stock_t1_main_inflow_wan,tech_profile,pct_chg_t1,vol_ratio_t1,distance_to_ma20,prev_close,day_open,day_close,open_pct,close_pct,excess_return
1,600903,贵州燃气,AUCTION_FOLLOW,main_attack,healthy_cost_auction_follow_through,T0-GENERAL,weak_or_single_factor_watch,50.55,52.71,42.09,medium,10,67.81,,,100,100,45,,qiangchou_920_925,1,3185,0.87,6.7,9:20-9:25,3,,,,none,,20,0,False,1,1.03,hit_top_strong,,0.8777,13900,,9.9875,3.416,0.3219,8.81,9.4,9.69,6.6969,9.9886,3.2886
2,002580,圣阳股份,MOMENTUM_CATCHUP,momentum,strong_auction_momentum_incomplete_theme_or_source,T0-GENERAL,weak_or_single_factor_watch,44.26,52.43,57.47,medium,15,53.76,,,100,100,45,,,0,3285,0.35,2.27,9:20-9:25,48,,,,none,,20,61.6,False,1,0.96,miss,missing_in_cashflow_today,,,,-6.1724,0.8761,-0.1164,26.45,27.05,27.5,2.2684,3.9698,1.6998
3,300537,广信材料,MOMENTUM_CATCHUP,momentum,strong_auction_momentum_incomplete_theme_or_source,T0-GENERAL,weak_or_single_factor_watch,47,52.25,60.72,medium,15,57.39,,,100,87.97,45,,vratio,1,2639,0.64,2.09,9:20-9:25,45,,2,,none,,20,,False,1,1,hit_top_strong,,1.1105,19000,,15.3405,4.6215,0.2438,30.15,30.78,31.66,2.0896,5.0083,2.9183
4,002196,方正电机,THEME_CATCHUP,strong,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,59.64,82.94,43.07,high,20,45.9,,,55,100,45,,net_amount,1,3397,0.49,0.5,,,,,22,none,,100,48,False,1,1,miss,missing_in_cashflow_today,,,,5.2083,3.4268,0.1185,16.16,16.24,16.92,0.495,4.703,4.203
5,002600,领益智造,THEME_CATCHUP,strong,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,52.86,75.88,47.19,high,20,40.23,,,100,76.91,45,,net_amount,1,9393,0.18,2.4,,,,,15,none,,100,50.8,False,1,0.94,miss,missing_in_cashflow_today,,,,0.7674,2.007,0.1519,17.05,17.46,16.91,2.4047,-0.8211,-3.2211
6,002979,雷赛智能,THEME_CATCHUP,strong,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,53.23,75.46,46.83,high,20,41.13,,,35,98.36,45,,net_amount,1,5667,0.52,-0.14,,,,,20,none,,100,15,False,1,1,miss,missing_in_cashflow_today,,,,8.8462,2.7542,0.3873,65.09,65,66.39,-0.1383,1.9972,2.1372
7,002048,宁波华翔,THEME_CATCHUP,medium,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,37.5,63.81,27.72,high,20,13.46,,,55,39.27,45,,,0,1178,0.09,1.95,,,,85,,none,,100,,False,1,1,miss,missing_in_cashflow_today,,,,,,,29.18,29.75,28.83,1.9534,-1.1995,-3.1495
8,600143,金发科技,THEME_CATCHUP,medium,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,46.02,62.5,31.6,high,20,25.26,,,100,60.2,45,,,0,1806,0.05,2.98,,,,69,,none,39,100,,False,1,1,miss,missing_in_cashflow_today,,,,,,,17.43,17.95,17.79,2.9834,2.0654,-0.9146
9,688590,新致软件,THEME_CATCHUP,medium,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,44.29,58.05,31.4,medium,20,30.55,,,100,41.53,45,,vratio,1,1246,0.33,2.79,,,,13,,none,,80,,False,1,1,miss,missing_in_cashflow_today,,,,,,,17.95,18.45,17.95,2.7855,0,-2.79
10,002195,岩山科技,THEME_CATCHUP,medium,low_cost_t0_theme_catchup,T0-GENERAL,weak_or_single_factor_watch,40.63,57.01,31.78,medium,20,25.49,,,100,47.41,45,,,0,2067,0.05,2.62,,,,88,43,none,,80,,False,1,1,miss,missing_in_cashflow_today,,,,-0.4376,1.1647,0.0045,8.39,8.61,8.67,2.6222,3.3373,0.7173
