date,code,regime,action,risk_flag,amt,edge_old,final,y_excess,y_hold,y_t1close,amt_pct,auction_strength,liquidity,money,pressure_score,weimai_strength,orderbook,low_cost,theme_strength_t0,market_env_score,cashflow_continuity_score,longtou_score,net_pressure,latest_change_pct,source_evidence_score,auction_amount_wan,net_amount_rank,qiangchou_920_925_rank,qiangchou_last_second_rank,deriv.auc_minus_8xopen,deriv.lowopen_strength,deriv.money_x_liq,deriv.amt_x_auc,xr.amt_pct,xr.auction_strength,xr.liquidity,xr.money,xr.pressure_score,xr.weimai_strength,xr.orderbook,xr.low_cost,xr.theme_strength_t0,xr.market_env_score,xr.cashflow_continuity_score,xr.longtou_score,xr.net_pressure,xr.latest_change_pct,xr.source_evidence_score,xr.auction_amount_wan,xr.net_amount_rank,xr.qiangchou_920_925_rank,xr.qiangchou_last_second_rank,xr.deriv.auc_minus_8xopen,xr.deriv.lowopen_strength,xr.deriv.money_x_liq,xr.deriv.amt_x_auc
2026-06-09,300952,"{'label': 'cold_to_warming', 'reason': 'qx 7.0→42.0', 'qx_t0': 42.0, 'qx_t1': 7.0, 'dt_t0': 1.0, 'kqxy_t0': 0.0, 'sz_t0': 4143.0, 'xd_t0': 858.0, 'breadth_t0': 0.8284343131373725, 'lbbx_t0': 1.33, 'lbbx_t1': 1.67, 'ztbx_t0': 2.16, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",DROP,1,19.38326,11.2,0.0,-3.46205,,,19.38326,5.3,17.82,6.37,0.0,0.0,45.0,85.0,20.0,55.59,45.0,0.0,,2.0,1.46,191.0,,,18.0,-10.7,0.0,1.13513,1.02731,11.31105,27.24936,11.05398,52.9563,55.26992,35.21851,71.72237,64.52442,62.46787,62.46787,58.61183,62.46787,,43.92765,80.97686,19.38326,,,11.48649,41.34367,30.74935,52.9563,14.39589
2026-06-09,000988,"{'label': 'cold_to_warming', 'reason': 'qx 7.0→42.0', 'qx_t0': 42.0, 'qx_t1': 7.0, 'dt_t0': 1.0, 'kqxy_t0': 0.0, 'sz_t0': 4143.0, 'xd_t0': 858.0, 'breadth_t0': 0.8284343131373725, 'lbbx_t0': 1.33, 'lbbx_t1': 1.67, 'ztbx_t0': 2.16, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",DROP,1,50.0,11.19,0.0,1.95499,-2.3719,-4.19855,50.0,13.38,20.0,0.0,0.0,6.2,45.0,77.05,20.0,55.59,30.0,0.0,,2.53,0.0,,,,,-6.86,0.0,0.0,6.69,55.78406,73.52185,46.52956,26.47815,55.52699,66.58098,71.97943,47.55784,62.72494,62.72494,8.48329,62.72494,,57.62274,44.47301,,,,,55.55556,31.00775,26.47815,68.63753
2026-06-09,300475,"{'label': 'cold_to_warming', 'reason': 'qx 7.0→42.0', 'qx_t0': 42.0, 'qx_t1': 7.0, 'dt_t0': 1.0, 'kqxy_t0': 0.0, 'sz_t0': 4143.0, 'xd_t0': 858.0, 'breadth_t0': 0.8284343131373725, 'lbbx_t0': 1.33, 'lbbx_t1': 1.67, 'ztbx_t0': 2.16, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",DROP,1,50.0,11.14,0.0,5.86941,8.67895,2.8217,50.0,13.38,20.0,0.0,0.0,5.2,45.0,69.4,20.0,55.59,45.0,0.0,,3.04,0.0,,,,,-10.94,0.0,0.0,6.69,56.04113,73.77892,46.78663,26.73522,55.78406,65.80977,72.2365,36.50386,62.98201,62.98201,58.86889,62.98201,,67.95866,44.73008,,,,,39.79328,31.26615,26.73522,68.8946
2026-06-09,603888,"{'label': 'cold_to_warming', 'reason': 'qx 7.0→42.0', 'qx_t0': 42.0, 'qx_t1': 7.0, 'dt_t0': 1.0, 'kqxy_t0': 0.0, 'sz_t0': 4143.0, 'xd_t0': 858.0, 'breadth_t0': 0.8284343131373725, 'lbbx_t0': 1.33, 'lbbx_t1': 1.67, 'ztbx_t0': 2.16, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",DROP,1,50.0,11.13,0.0,-0.5641,-3.02409,-2.47423,50.0,8.88,20.0,0.0,0.0,0.0,45.0,85.75,20.0,55.59,45.0,0.0,,0.05,0.0,,,,,8.48,8.88,0.0,4.44,56.2982,52.9563,47.0437,26.99229,56.04113,35.47558,72.49357,68.63753,63.23907,63.23907,59.12596,63.23907,,8.78553,44.98715,,,,,87.3385,90.69767,26.99229,52.44216
2026-06-09,300603,"{'label': 'cold_to_warming', 'reason': 'qx 7.0→42.0', 'qx_t0': 42.0, 'qx_t1': 7.0, 'dt_t0': 1.0, 'kqxy_t0': 0.0, 'sz_t0': 4143.0, 'xd_t0': 858.0, 'breadth_t0': 0.8284343131373725, 'lbbx_t0': 1.33, 'lbbx_t1': 1.67, 'ztbx_t0': 2.16, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",DROP,1,31.71806,11.12,0.0,0.70505,2.3015,1.6,31.71806,5.0,19.44,9.07,0.0,0.0,45.0,83.2,20.0,55.59,45.0,0.0,,2.12,0.0,272.0,,,54.0,-11.96,0.0,1.76321,1.5859,18.509,22.62211,18.25193,60.15424,56.2982,35.73265,72.75064,58.61183,63.49614,63.49614,59.38303,63.49614,,48.32041,45.24422,31.71806,,,35.81081,34.36693,31.52455,60.15424,22.10797
2026-06-09,603823,"{'label': 'cold_to_warming', 'reason': 'qx 7.0→42.0', 'qx_t0': 42.0, 'qx_t1': 7.0, 'dt_t0': 1.0, 'kqxy_t0': 0.0, 'sz_t0': 4143.0, 'xd_t0': 858.0, 'breadth_t0': 0.8284343131373725, 'lbbx_t0': 1.33, 'lbbx_t1': 1.67, 'ztbx_t0': 2.16, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",DROP,1,50.0,11.1,23.58,8.2566,19.08561,10.00567,50.0,8.88,20.0,0.0,0.0,0.0,45.0,85.45,20.0,55.59,45.0,0.0,,0.03,0.0,,,,,8.64,8.88,0.0,4.44,56.55527,53.21337,47.30077,27.24936,56.55527,35.98972,73.00771,67.60925,63.75321,63.75321,59.6401,63.75321,,8.52713,45.50129,,,,,87.8553,90.95607,27.24936,52.69923
2026-06-09,688686,"{'label': 'cold_to_warming', 'reason': 'qx 7.0→42.0', 'qx_t0': 42.0, 'qx_t1': 7.0, 'dt_t0': 1.0, 'kqxy_t0': 0.0, 'sz_t0': 4143.0, 'xd_t0': 858.0, 'breadth_t0': 0.8284343131373725, 'lbbx_t0': 1.33, 'lbbx_t1': 1.67, 'ztbx_t0': 2.16, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",DROP,1,28.19383,11.1,0.0,-2.79705,-6.39854,-3.7594,28.19383,4.95,18.66,7.77,0.0,0.0,45.0,85.0,20.0,55.59,45.0,0.0,,2.0,0.0,233.0,,,71.0,-11.05,0.0,1.44988,1.39559,16.45244,21.8509,16.19537,58.09769,56.81234,36.24679,73.26478,64.78149,64.01028,64.01028,59.89717,64.01028,,44.18605,45.75835,28.19383,,,47.2973,39.01809,31.78295,58.09769,19.28021
2026-06-09,001309,"{'label': 'cold_to_warming', 'reason': 'qx 7.0→42.0', 'qx_t0': 42.0, 'qx_t1': 7.0, 'dt_t0': 1.0, 'kqxy_t0': 0.0, 'sz_t0': 4143.0, 'xd_t0': 858.0, 'breadth_t0': 0.8284343131373725, 'lbbx_t0': 1.33, 'lbbx_t1': 1.67, 'ztbx_t0': 2.16, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",DROP,1,50.0,11.05,0.0,3.43309,3.69912,0.35318,50.0,13.38,20.0,0.0,0.0,3.6,45.0,70.45,20.0,55.59,45.0,0.0,,2.97,0.0,,,,,-10.38,0.0,0.0,6.69,56.81234,74.03599,47.55784,27.50643,57.06941,64.52442,73.52185,38.81748,64.26735,64.26735,60.15424,64.26735,,65.89147,46.01542,,,,,43.92765,32.04134,27.50643,69.15167
2026-06-09,002134,"{'label': 'cold_to_warming', 'reason': 'qx 7.0→42.0', 'qx_t0': 42.0, 'qx_t1': 7.0, 'dt_t0': 1.0, 'kqxy_t0': 0.0, 'sz_t0': 4143.0, 'xd_t0': 858.0, 'breadth_t0': 0.8284343131373725, 'lbbx_t0': 1.33, 'lbbx_t1': 1.67, 'ztbx_t0': 2.16, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",DROP,1,18.94273,11.03,0.0,8.00308,6.22407,-1.50402,18.94273,5.24,17.8,6.33,0.0,0.0,45.0,85.0,20.0,55.59,45.0,0.0,,2.0,0.47,190.0,,,24.0,-10.76,0.0,1.12674,0.9926,11.05398,26.73522,10.79692,52.69923,57.32648,36.50386,73.77892,65.03856,64.52442,64.52442,60.41131,64.52442,,44.44444,76.09254,18.94273,,,15.54054,40.82687,32.29974,52.69923,13.88175
2026-06-09,300491,"{'label': 'cold_to_warming', 'reason': 'qx 7.0→42.0', 'qx_t0': 42.0, 'qx_t1': 7.0, 'dt_t0': 1.0, 'kqxy_t0': 0.0, 'sz_t0': 4143.0, 'xd_t0': 858.0, 'breadth_t0': 0.8284343131373725, 'lbbx_t0': 1.33, 'lbbx_t1': 1.67, 'ztbx_t0': 2.16, 'promo_t0': None, 'ignored_metrics': ['HSLN', 'PB', 'PBBX']}",DROP,1,26.43172,11.02,0.0,-2.05062,-9.04523,-7.17949,26.43172,4.94,18.44,7.4,0.0,0.0,45.0,84.7,20.0,55.59,45.0,0.0,,2.02,0.0,222.0,,,98.0,-11.22,0.0,1.36456,1.30573,15.42416,21.33676,15.1671,57.06941,57.58355,36.76093,74.03599,61.18252,64.78149,64.78149,60.66838,64.78149,,46.25323,46.27249,26.43172,,,65.54054,37.7261,32.55814,57.06941,17.99486
